"","pwsid","total_violations","dist_enf","dist_vio_type","diff_days_max"
"1","010106001",2,6,1,91
"2","010502003",1,3,1,29
"3","050595310",1,4,1,409
"4","055293303",3,4,1,91
"5","055294101",13,22,3,1391
"6","055294401",21,55,3,1397
"7","055294801",42,126,1,91
"8","055295101",1,2,1,90
"9","055295505",2,1,1,30
"10","055295705",1,1,1,30
"11","061620001",1,3,1,1617
"12","061800001",1,3,1,2975
"13","061870043",1,1,1,1009
"14","062000905",1,1,1,1745
"15","062001458",1,4,1,1211
"16","062002156",5,16,2,30
"17","062004183",1,1,1,2989
"18","063003614",2,2,2,1279
"19","063006122",14,12,1,91
"20","063500006",22,34,4,3003
"21","063500007",2,14,1,2914
"22","063500008",2,14,1,2912
"23","063500108",1,3,1,2686
"24","063500110",3,5,1,91
"25","063500116",3,14,2,1832
"26","063500119",8,25,2,2546
"27","063500122",1,5,1,2486
"28","063500123",6,5,1,91
"29","063500166",2,11,1,1405
"30","063501001",3,11,2,2107
"31","063501109",1,4,1,2387
"32","063501124",4,4,1,91
"33","063501160",1,2,1,2418
"34","063502233",1,13,1,2192
"35","063503013",1,15,1,2500
"36","063503107",1,4,1,2048
"37","063503109",1,4,1,2387
"38","063503115",1,3,1,2426
"39","063503118",4,8,1,91
"40","063504107",1,4,1,2049
"41","063504118",1,4,1,2152
"42","063504119",4,8,1,91
"43","063506111",1,4,1,2545
"44","063506114",1,4,1,2106
"45","063506193",1,2,1,309
"46","063506233",2,15,1,2192
"47","063507009",1,14,1,2713
"48","063507011",2,14,1,2192
"49","063508166",1,2,1,583
"50","063509008",1,11,1,2192
"51","063568423",4,8,1,2811
"52","070000002",57,89,8,2600
"53","070000004",2,7,1,1709
"54","070000008",9,20,2,2135
"55","070000014",3,9,2,114
"56","070000017",7,18,2,3109
"57","080890002",3,3,2,1558
"58","083090001",3,6,2,1939
"59","083090003",3,7,3,2129
"60","083090004",2,3,2,1956
"61","083090005",2,1,1,1956
"62","083090007",2,3,2,1833
"63","083090008",2,4,1,2439
"64","083090009",7,4,4,2287
"65","083090011",16,9,2,3040
"66","083090012",2,2,1,1708
"67","083090014",3,6,2,1708
"68","083090016",1,1,1,2595
"69","083090023",3,2,1,91
"70","083090024",2,2,1,30
"71","083090027",5,7,2,30
"72","083090029",2,4,1,30
"73","083090032",1,3,1,29
"74","083090033",2,3,1,29
"75","083090034",1,2,1,2576
"76","083090037",1,1,1,1835
"77","083090041",53,8,2,91
"78","083090044",1,1,1,1465
"79","083090050",2,1,1,90
"80","083090053",1,1,1,2610
"81","083090061",1,1,1,797
"82","083090062",5,6,4,1421
"83","083090063",3,3,2,2389
"84","083090067",2,5,2,2557
"85","083090075",1,2,1,2179
"86","083090091",2,3,1,2969
"87","083090094",1,1,1,1497
"88","083090098",3,1,3,1129
"89","083090301",2,3,2,1834
"90","083090309",1,2,1,2051
"91","083090312",10,3,3,1489
"92","083890002",7,2,1,91
"93","083890003",11,2,1,91
"94","083890015",6,2,1,91
"95","083890017",1,1,1,91
"96","083890023",1,2,1,89
"97","083890025",4,3,1,364
"98","083890030",9,3,1,91
"99","083890036",2,2,1,1528
"100","083890037",2,2,1,1162
"101","084690020",1,3,1,2836
"102","084690029",6,3,1,91
"103","084690440",1,1,1,302
"104","084690441",1,1,1,90
"105","084690467",2,2,2,2974
"106","084690468",1,1,1,1674
"107","084690475",2,2,2,1809
"108","084690480",1,1,1,1283
"109","084690483",1,1,1,2197
"110","084690512",1,1,1,1273
"111","084690516",2,5,1,30
"112","084690521",2,3,1,2683
"113","084990002",6,10,4,2033
"114","084990003",1,3,1,2033
"115","084990006",3,7,1,3002
"116","085690002",4,6,2,1832
"117","085690004",1,1,1,2508
"118","085690008",2,3,1,2509
"119","090400030",1,1,1,90
"120","090400034",3,3,1,91
"121","090400049",1,1,1,29
"122","090400051",5,5,3,1192
"123","090400054",1,1,1,1499
"124","090400057",7,7,1,91
"125","090400060",1,1,1,30
"126","090400088",11,2,1,91
"127","090400089",5,5,3,1314
"128","090400090",1,1,1,30
"129","090400094",8,8,2,1497
"130","090400101",1,1,1,1741
"131","090400106",33,33,1,91
"132","090400107",31,33,1,91
"133","090400110",10,6,5,2197
"134","090400112",3,2,2,2562
"135","090400114",19,23,6,2166
"136","090400217",1,1,1,1343
"137","090400218",3,3,1,91
"138","090400220",1,1,1,30
"139","090400237",15,15,1,91
"140","090400259",33,32,1,91
"141","090400260",31,35,2,1680
"142","090400274",4,3,2,1312
"143","090400393",3,3,1,1764
"144","090400394",31,34,1,91
"145","090400395",7,7,3,1696
"146","090400662",10,2,2,91
"147","090400673",5,5,2,433
"148","090400675",1,1,1,1344
"149","090400676",3,6,2,1732
"150","090400678",3,3,2,1436
"151","090400679",1,1,1,573
"152","090400692",4,4,3,91
"153","090400710",1,1,1,30
"154","090402057",1,1,1,30
"155","090403010",4,8,1,91
"156","090403011",4,4,1,91
"157","090600038",1,1,1,248
"158","090600059",1,1,1,89
"159","090600119",1,1,1,89
"160","090600126",1,1,1,918
"161","090600134",7,7,4,1862
"162","090600135",4,4,2,1375
"163","090600139",5,2,2,2102
"164","090600144",5,1,1,1380
"165","090600145",8,6,4,2102
"166","090600150",5,3,1,609
"167","090600154",6,6,1,91
"168","090600156",5,5,1,91
"169","090600159",13,4,2,1388
"170","090600161",11,9,5,1862
"171","090600190",1,1,1,29
"172","090605004",108,123,7,2470
"173","090605006",6,6,2,1862
"174","090605020",4,2,1,609
"175","090605021",2,2,2,554
"176","090605045",4,4,1,432
"177","090605109",8,2,1,91
"178","090605113",6,6,2,2166
"179","090605128",1,1,1,30
"180","090605129",17,16,2,828
"181","090605130",1,1,1,90
"182","090605133",3,3,1,91
"183","090605146",4,3,1,91
"184","090605147",5,5,1,1438
"185","090605153",12,3,1,1380
"186","090605160",7,4,3,2115
"187","093200163",7,6,1,2068
"188","093200164",8,5,4,1284
"189","093200165",5,3,3,1344
"190","093200167",6,4,2,280
"191","093200171",5,4,2,280
"192","093200172",4,4,2,613
"193","093200173",1,1,1,30
"194","093200177",1,1,1,29
"195","093200360",2,2,1,952
"196","093200362",8,2,2,597
"197","093200366",4,4,3,2292
"198","093200368",6,3,2,1192
"199","093200372",2,2,2,1344
"200","093200373",1,1,1,828
"201","093200376",4,3,1,91
"202","093534003",3,3,1,30
"203","093534007",1,1,1,2531
"204","093534014",1,1,1,30
"205","093534018",2,2,1,30
"206","100211202",24,59,2,473
"207","101600005",4,4,1,1255
"208","101600015",1,1,1,2288
"209","101600016",10,16,1,1379
"210","101611105",1,1,1,29
"211","101612108",24,43,1,2323
"212","101612113",7,16,1,1255
"213","104100002",1,4,1,1980
"214","104101100",2,6,1,1954
"215","104101132",1,2,1,1832
"216","104101133",8,16,1,2093
"217","104101247",29,12,4,1602
"218","104121114",1,3,1,29
"219","105300008",3,1,1,1346
"220","105300010",1,2,1,1360
"221","105300011",2,2,2,2408
"222","105300012",6,6,2,91
"223","105300017",5,5,1,1890
"224","105300024",2,1,1,91
"225","105300025",1,4,1,415
"226","105300026",7,13,1,727
"227","105300028",9,17,2,3082
"228","105300047",3,1,1,1346
"229","105300058",4,3,3,2044
"230","105300073",2,2,1,1265
"231","105300084",2,4,1,452
"232","105300086",3,5,3,2814
"233","105300088",3,4,2,3082
"234","105300092",2,2,2,1679
"235","105300115",1,3,1,1648
"236","105300116",2,2,1,30
"237","105300119",1,2,1,2157
"238","105300120",7,13,2,552
"239","105300123",1,2,1,2456
"240","105300127",4,9,1,2872
"241","105300130",1,1,1,2408
"242","105300133",2,2,2,827
"243","105300134",2,3,1,1664
"244","105300141",7,8,5,2555
"245","105300146",4,7,1,2053
"246","105300147",4,8,1,537
"247","105300156",1,3,1,2010
"248","105311103",6,4,2,1862
"249","105338100",10,6,3,2044
"250","105338102",1,1,1,91
"251","105338112",2,2,2,1979
"252","105338113",5,5,3,1979
"253","105338121",5,4,2,1979
"254","105338122",5,7,3,1979
"255","AK2110106",3,4,3,2623
"256","AK2110110",2,2,1,2609
"257","AK2110449",2,3,1,1558
"258","AK2110520",5,8,2,2592
"259","AK2110562",4,2,2,30
"260","AK2110601",6,5,2,2592
"261","AK2110643",1,1,1,28
"262","AK2110855",13,4,2,30
"263","AK2111465",1,1,1,2623
"264","AK2111472",1,1,1,2623
